puzzle,solution
009007803000000000800030409104000000900001004360042000607200030000003950000070000,459127863736489215821536479184795326972361584365842791697254138248613957513978642
000205000020070100300010000010030009030900056200000008070040000400600000009000060,741285693925376184368419527516837249834921756297564318672148935453692871189753462
001060034000009002008050070000040050000000000307200000700900000002300010600000403,971862534465739182238451976896143257124675398357298641713924865542386719689517423
000807000020041009000000700000060001040130080003000000096300050030080040080009000,314897526527641839968253714852764391649135287173928465496372158731586942285419673
000000007700503080029800005010000000450080306000460010500000090000030400800701000,385612947741593682629874135916325874457189326238467519563248791172936458894751263
200080900850000260000000010048900300500360090090070000007400020000000000600030800,274681935851793264963245718748912356512368497396574182187459623439826571625137849
000006300070000008960030102200004000000012000080567000030028010520000803010000700,142896357375241698968735142296384571753912486481567239637428915524179863819653724
000001050010020070905800010300900504090080000070000006020300800000004001600000000,782631459416529378935847612361972584594186723278453196129365847853794261647218935
008005090900800006000610004000000700000180450700050000009004800001730000070000002,168345297945872136237619584583426719692187453714953628359264871421738965876591342
030700000020080600710005000050000024008900000000100060500000230000000005009072800,836791542925483671714265389157836924468927153293154768581649237672318495349572816
005000704070014050006500010000200380000098100048007006590000001084000060000400000,815962734379814652426573918761245389253698147948137526592386471184759263637421895
400089006500001000007000000030000705000020009009600100051003800000010020800400000,412789356568341297397562418236194785145827639789635142951273864674918523823456971
000000004001080900032900000709810060800004700000030500000020006090000800507000000,985276314671483952432951687729815463853694721164732598348529176296147835517368249
000007009008040100070000300059080030040000807000000005086920000002000096034000000,423167589698345172175892364259784631341659827867213945786921453512438796934576218
030040102500800000020610009008000000090000005740100000006009020070060900000500340,639745182517892634824613579368954217291387465745126893156439728473268951982571346
000090487600200000009003020000000002093000040040700819507080000000000000000371060,352196487618247953479853126785914632193628745246735819567482391831569274924371568
400010002600300800010690003002800070000000001960050000800000000000260090000400307,437518962629374815518692743152843679784926531963157284845739126371265498296481357
090400020803000060054300000000104076060030002100700800002041009000005007000000280,691487523873529461254316798328154976567938142149762835732841659486295317915673284
050090600100000000006000020200906800704082000000070010070000280008400005300000900,857293641123864759496751328215946873734182596689375412571639284968427135342518967
672000000309050002000000000000800706010005804000009053400067008100300005020080000,672938541349751682851246379594823716213675894768419253435167928187392465926584137
390000000001000200025019000010006800004003609600050000000000904000040073100700000,396824751481537296725619348912476835574183629638952417257361984869245173143798562
000008040007000000301950000070501080200300700500006004050000200000003090008000010,625138947897642135341957862473521689286394751519786324154869273762413598938275416
060005004100070050040003000780030000002006403000000500601009000000000210000002809,867925134139478652245613798784531926512896473396247581621789345958364217473152869
007000040090000500000305026000060401140000080000900000000050200310008000500400000,257689143693124578481375926735862491149537682826941357968753214314298765572416839
400000090009470008200000050070800010008053007005710600002000000800100000060980000,451268793639475128287391456976842315128653947345719682712534869893126574564987231
000009003005080004004030106740090000001000000090050017080000030000508040100006009,816479253235681974974235186748193562521764398693852417482917635369528741157346829
600000000000009005075100200003800000000605002004023090030400700740000030008000600,689572413421369875375184269263891547197645382854723196932416758746258931518937624
040000001000705000900030000000001506000002008079000000402000030005300800090040007,543829761128765943967134285234981576651472398879653412482517639715396824396248157
080070002000000073000003140800047200010600700090500000200000005900020300001065800,183479562425816973679253148836147259512698734794532681267381495958724316341965827
000800060080100005200006190020000400700000003563000009056030004000005081000090000,931854762687129345245376198128963457794582613563417829856231974379645281412798536
007009000040800010003000054250007400000000026000000005409003000001002300000010069,127549638945836712683271954258167493714395826396428175479653281561982347832714569
602000010000000205030070000009203001000100004080060700000300500060009100020050090,642538917897614235531972468479283651256197384183465729918346572765829143324751896
400709200050000400008020061095030000020900700604008090082000000000000840000100000,416759238253816479978423561795231684821964753634578192382645917167392845549187326
607000300100000800004068000400000090700010260050400000000042008000100600809030001,687251349125394876394768512416823795738915264952476183571642938243189657869537421
091000040040000503050008000000005200000040070030600050480500020200100000600090700,391256847842719563756438912164875239528943176937621458489567321273184695615392784
000300005000105760030080020000030002004790000500008000309000000062000100000800007,276349815948125763135687429617534982824796531593218674389471256762953148451862397
004109270700000040000008003001030007092000000000605000800200060000000002060004500,354169278718523946926748153581432697692817435473695821839251764145976382267384519
090006700056300024003200000300000005004000000020068010800000030000009000000002680,291846753756391824483275196318927465964153278527468319875614932632789541149532687
090300000060002007200800005400600002900000000000008036000007500000200073500090010,895374261364512987271869345418635792936721854752948136643187529189256473527493618
000500009100087000080000070970300000002010000600009200005930000800000036020400100,237546819196287354584193672978324561342615987651879243465931728819752436723468195
010940000090000030000003700006105380009804000020000000030608047200000010060001000,713946528695782431842513769476195382359824176128367954931658247287439615564271893
